trial,status,val_sharpe,learning_rate,lookback_window,tcn_hidden_channels,dropout,lambda_turnover,lambda_concentration,lambda_entropy,softmax_temperature,batch_size,loss_type,gamma_risk_aversion,alpha_return_pred,alpha_vol_pred,best_epoch,entropy_ratio,mean_max_weight,elapsed_seconds,model_params
1,completed,0.9907602071762085,0.0007274917088027808,21,32,0.3,0.2,0.01,0.0,0.5,32,mv_utility,5.0,1.0,0.1,2,0.9995010546445583,0.036614373326301575,42.23618459701538,252827
2,completed,0.9867982268333435,0.0011395817246491863,21,64,0.3,0.05,0.01,0.0,1.0,64,mv_utility,2.0,0.5,0.5,1,0.9998833714537594,0.03496766462922096,37.295437812805176,252827
3,completed,0.9875727891921997,0.019191484075133707,21,64,0.2,0.05,0.01,0.0,0.5,32,return_max,5.0,1.0,0.5,1,0.9996760203130156,0.03573055565357208,41.01670002937317,252827
4,completed,0.9879782199859619,0.00012804985494103906,63,64,0.2,0.1,0.05,0.0,1.5,64,return_max,1.0,1.0,0.1,1,0.9998439761389866,0.03534223139286041,60.212950468063354,252827
5,completed,0.9867116808891296,0.002500224047333956,21,32,0.3,0.05,0.01,0.0,1.0,64,mv_utility,1.0,0.5,0.1,1,0.9998948675954368,0.03485491871833801,36.806092739105225,252827
6,completed,0.9875351786613464,0.00033985496467313174,63,64,0.3,0.2,0.01,0.0,1.5,32,mv_utility,1.0,0.5,0.5,1,0.9998537198200425,0.03523501008749008,66.09380507469177,252827
7,completed,0.9863265156745911,0.005471536021387708,42,64,0.2,0.05,0.05,0.0,0.5,32,mv_utility,2.0,0.5,0.5,2,0.9997414221434124,0.03487447649240494,55.90371108055115,252827
8,completed,1.0553902387619019,0.011455777613940602,42,32,0.3,0.2,0.05,0.0,1.5,64,sharpe,2.0,0.1,0.5,8,0.45834857503933846,0.3587400019168854,134.80349946022034,252827
9,completed,0.849270761013031,0.005243315487759208,63,32,0.2,0.01,0.01,0.0,0.5,32,return_max,1.0,0.1,0.1,8,0.38500638061535836,0.29902079701423645,93.50225639343262,252827
10,completed,0.9951691031455994,0.01865762858779244,21,64,0.3,0.1,0.1,0.0,0.5,64,return_max,5.0,0.1,0.1,100,0.9927542915468007,0.03836525231599808,732.0032436847687,252827
11,completed,0.9917101860046387,0.0001480399619023357,63,64,0.1,0.2,0.1,0.0,0.5,64,mv_utility,1.0,1.0,0.1,1,0.9993883363773791,0.03727639466524124,62.03397297859192,252827
12,completed,0.955044150352478,0.003459583241762644,21,32,0.2,0.1,0.1,0.0,0.5,32,sharpe,5.0,0.5,0.1,31,0.4064567089186107,0.41941937804222107,89.31934809684753,252827
13,completed,0.9883038401603699,0.005631047841350822,42,32,0.3,0.05,0.1,0.0,1.5,32,return_max,5.0,0.5,0.5,100,0.9993534273617976,0.03455420210957527,281.11992383003235,252827
14,completed,0.9866620898246765,0.001025478286364185,63,32,0.3,0.01,0.01,0.0,1.0,32,return_max,5.0,0.1,0.1,1,0.9998364055091014,0.035120002925395966,66.41651225090027,252827
15,completed,0.9854799509048462,0.005477038995623798,21,64,0.3,0.1,0.1,0.0,1.0,64,mv_utility,2.0,0.1,0.5,1,0.9999398707841987,0.034174080938100815,37.40293645858765,252827
