trial,status,val_sharpe,learning_rate,lookback_window,tcn_hidden_channels,dropout,lambda_turnover,lambda_concentration,lambda_entropy,softmax_temperature,batch_size,loss_type,gamma_risk_aversion,alpha_return_pred,alpha_vol_pred,best_epoch,entropy_ratio,mean_max_weight,elapsed_seconds,model_params
1,completed,0.9821068048477173,0.0007274917088027808,21,32,0.3,0.2,0.01,0.0,0.5,32,mv_utility,5.0,1.0,0.1,6,0.9998652860601448,0.034905459731817245,72.38673114776611,141403
2,completed,1.009159803390503,0.0011395817246491863,21,64,0.3,0.05,0.01,0.0,1.0,64,mv_utility,2.0,0.5,0.5,10,0.9357473083146314,0.11817052215337753,72.94965600967407,319963
3,completed,1.04767644405365,0.019191484075133707,21,64,0.2,0.05,0.01,0.0,0.5,32,return_max,5.0,1.0,0.5,17,0.9088100959036782,0.04545454680919647,118.69208359718323,319963
4,completed,0.984010636806488,0.00012804985494103906,63,64,0.2,0.1,0.05,0.0,1.5,64,return_max,1.0,1.0,0.1,5,0.9999466703314104,0.034412041306495667,100.12275743484497,319963
5,completed,1.0079082250595093,0.002500224047333956,21,32,0.3,0.05,0.01,0.0,1.0,64,mv_utility,1.0,0.5,0.1,8,0.9601710716037085,0.08809830248355865,60.72915434837341,141403
6,completed,0.9838719367980957,0.00033985496467313174,63,64,0.3,0.2,0.01,0.0,1.5,32,mv_utility,1.0,0.5,0.5,1,0.9999318094653394,0.03467699512839317,89.53637504577637,319963
7,completed,0.9820724725723267,0.005471536021387708,42,64,0.2,0.05,0.05,0.0,0.5,32,mv_utility,2.0,0.5,0.5,1,0.9994702814360437,0.035865820944309235,78.86746048927307,319963
8,completed,0.9767224192619324,0.011455777613940602,42,32,0.3,0.2,0.05,0.0,1.5,64,sharpe,2.0,0.1,0.5,5,0.5054761316158498,0.18081405758857727,65.72158765792847,141403
9,completed,0.7295839786529541,0.005243315487759208,63,32,0.2,0.01,0.01,0.0,0.5,32,return_max,1.0,0.1,0.1,1,0.6490935391300059,0.1413562148809433,93.29955649375916,141403
10,completed,0.9797893762588501,0.01865762858779244,21,64,0.3,0.1,0.1,0.0,0.5,64,return_max,5.0,0.1,0.1,30,0.9708612215921157,0.03793571889400482,114.46295762062073,319963
11,completed,0.9842050075531006,0.0001480399619023357,63,64,0.1,0.2,0.1,0.0,0.5,64,mv_utility,1.0,1.0,0.1,6,0.9998619914341762,0.03491496294736862,208.25895738601685,319963
12,completed,0.819767951965332,0.003459583241762644,21,32,0.2,0.1,0.1,0.0,0.5,32,sharpe,5.0,0.5,0.1,1,0.5296679742662688,0.24225479364395142,64.35570025444031,141403
13,completed,0.9916141033172607,0.005631047841350822,42,32,0.3,0.05,0.1,0.0,1.5,32,return_max,5.0,0.5,0.5,9,0.9982462227410916,0.043745022267103195,83.83197283744812,141403
14,completed,0.982757031917572,0.001025478286364185,63,32,0.3,0.01,0.01,0.0,1.0,32,return_max,5.0,0.1,0.1,1,0.9993191492320397,0.037303876131772995,96.17159414291382,141403
15,completed,0.9839830994606018,0.005477038995623798,21,64,0.3,0.1,0.1,0.0,1.0,64,mv_utility,2.0,0.1,0.5,1,0.9999675596620194,0.034114085137844086,50.56401777267456,319963
